name,description,latitude,longitude,24/7,naloxone,fent_strips,type,image_url
"Georgia Overdose Prevention - The Athens Clinic 1710 Commerce Rd Athens, GA 30607",24 Hour access to naloxone. Report a reversal at www.georgiaoverdoseprevention.org,33.9940661,-83.3794566,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR52zt-fE3WmEMrdWw7F1vyn7I-pfSLgdM9UklbJNFmPLNQm8uiEFquiyz4RZPGZB5ehD2VMjcspPFzpxU95iixXIvIKgNeJZ7n4qjIi30Oo_1HQheRSiyP8mZgLsKZlDCsINkjdFzayoHX02B-A5BW8NcbsuGI-vemRkKOHukTbbSVJ0q4ZGevKW73tVkyaM4989Vj8uj-TgyucjX9-YcMflrc_sTHAyORWNMkqvMfzyHIf1Nm783Ah1DnRkhi83Rk_CI9XS4rd?authuser=0&fife=s16383
"2007 N Broad St Rome, GA 30161","Free Narcan and Food Pantry in ""Little Library"". Open 24 hours.",34.2726356,-85.1515315,TRUE,TRUE,FALSE,V,none
Coweta Force 36 Salbide Ave,Naloxone Distribution Box available 24/7 near the front door of Coweta Force.,33.3717243,-84.7982449,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5k1WPyd-G5RJjYbYzdyO_WoeTI5KquoAHWw7hBqYx2dTgzKVzQO89Y4xEQzB8QsHPM4qEZZQo7n6yk3tRg9bIcqZU-0vi-l8vE_9eyRHn45aXCqYTiLX2R0bbrmLcO7hFE0g0JPMHVYMytowY2GVqm4rMwEkzRyTL06kdJQljL-_odc2eJNJ2XiMgsnQAMckTfxRnJYqmuGs6-RuxnOgcWYXK5bDmboGhThjUdZVXuw-8sb5AjOtsa5CXIcTsNwlJmLvrQ1Jyj?authuser=0&fife=s16383
102 Cloverleaf Cir Jefferson GA 30549 (Reboot Jackson),"Free Naloxone ""Porch Box"". Available 24 hours.",34.1389984,-83.5655338,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5L03xoH_ft1JffdBPMK-zC-TcwbjOQAEXCF6Ang7-MkxEEWbFrn7AMXuFZ4My97e2JuHp6-giqhpv16zOu9XdqXfGBJwV2JZxZl00OnfF3e5QC06T8FnQcD7h4lddPmGsupWmQgZjFLH-d7d77lH9_qNiM1XY2Z37PCbIgJyD1gwBDcNt4mdSBJ_OMADQbafYaVaBRW5hoiFao3WaGnTiR6Bbhm6TGCPemhsKSiQfbeY1ZUpkCCAa_Vti_Unv_Q0iyKZ3z4RKJ?authuser=0&fife=s16383
Georgia Overdose Prevention 24 Hour Naloxone Box at Alliance Recovery 1116 E Ponce de Leon Ave,24 Naloxone Box: Housed at the far right column at Alliance Recovery Georgia Overdose Prevention's Box #1 in honor of Jeremy Galloway and Nick Harrison. Report a Reversal at georgiaoverdoseprevention.org and we will replace your kit.,33.7770724,-84.2800254,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5n-e1HPTMLDPiUZ7RbFpnoFhP3U57UuExATJF7okbf1qAnWG8Qz9mSlUDXYGT25evpEcqAMeQCi51sMFGv5moZQM5InWTuaQG7oYUgfyTjFIbfU8hG3ehiol5a3OGgbGXaAXQhTNl9iyaEoYOPGx0nZa2JbVbjbPX701cvmtaXHU3TKS5lj4e9YfS3J2OTbp80IhhIxMoYACwIHdqw_tNDZ5E4SJ2swh-8xJ1BgLeJp6k9hbtIjOvpv4N8nVHw-ni3egOncubT?authuser=0&fife=s16383
226 S Zetterower Ave Freedom Through Recovery,24 hour Porch OAK Box,32.4417031,-81.7790225,TRUE,TRUE,FALSE,V,none
"Georgia Overdose Prevention 24 hour Naloxone Box at 4974 Cowan Rd #170, Acworth, GA 30101 (on back of building)",24 hour access. Placed on the back wall of Ackworth Tabaco and Liquor (Thank you!). Report a Reversal at georgiaoverdoseprevention.org and we will replace your kit.,34.074835,-84.6541115,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR49wShZLYY8BCX8C2zbz8qzmurlkJWeIzoS-qsE-C3WM3XbQ0_pVFeEiEP1L0189BrCBFe9rgPJBabcH9_W6zl5gIjo4mAo_B88FadI1HpIhtOdkjvQ-Wej5IFe8Ibve4QRNOxygCVmodZ2bXjIoRq4K-0LayFl5czEGVSsRZSGSrBSLE8A1F1OyzX_GAdlzAJ_IVfI5feVarZhcu86OqEVA4UZ9gPjq5c_51jSxWQxcAVJFl-76azPYzOU_cawBczr1ih5p5iI?authuser=0&fife=s16383
"Georgia Overdose Prevention 24 hour Access Naloxone Box at the Pittard Clinic 1654 Falls Rd, Toccoa, GA 30577",24 hour access. Follow pin to building up the hill. Box is on the LEFT side of the building near the side door. Report a Reversal at georgiaoverdoseprevention.org and we will replace your kit.,34.5991445,-83.3486961,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4MdcCv-4Eb3X51gqaVxN7fIjAZpplOi23wRl3jM0kqEo81kZayC8-57GdfIA8DQjXmrBGm7dSGmbF2lEL49fMUhcqENXD4fnUjxxkVjcA5KB8z01cpHVNC6wITN2U4tFw73dSeAT4WmWKFVJ-dKGAfXonbFkysmwrOIlyFbIRO4soXAwgt5HpPLfI2u994VzA9IjFryZSAdmZjuEP3zFf7xmttbZVHv8UFvAY6A60MScsWrXXTD5IzzC6a143ob3VrO6wJwT0x?authuser=0&fife=s16383
595 Wimbish Rd @ Macon Recovers,"24 Hour box outside. Nasal, Test Strips, See georgianaloxone.com for more info.",32.8751598,-83.687256,TRUE,TRUE,TRUE,V,none
408 Shorter Ave NW @ Living Proof Recovery,Porch Box -- access 24 hours. Nasal Narcan and test strips.,34.264924,-85.193402,TRUE,TRUE,TRUE,V,none
Georgia Harm Reduction Vending Machine 1231 Joseph E. Boone Blvd NW,"24 Hour Access. Multiple harm reduction products: Naloxone, syringes and condoms.",33.7642759,-84.4276597,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR6fgCiwzhyEznlBnW5DNHoys_8-y2jznA7XXZ3gbLkqMoP6X_QOIXQlPLMNzw_BBtYIPHsjfY7AP7_R3daGiUpglRG3sOqm0XclHyOb1JimaQ1E2hjaNlXbBAsoHFwMIw3nPeTc7oKzbS_zkHWHro4M2pt6jOoHLK6M9PfwboCtru2hAKUU_sc4ti_oyTMVk_RVy3HdB--4Sbq8j64IqybDpI3tsDzlWVfdGBZ41NytPpK6nLvbq-0regCwF5hH2pWUMKb_bA1G?authuser=0&fife=s16383
Georgia Harm Reduction Coalition Naloxone Box 759 Boone Blvd 30314,"24 hour access, narcan, kloxxado, syringes, other harm reduction supplies",33.7636449,-84.4122397,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4HHHD7ba2Dkp-G_JTDWW_gUA860kqcL2qD5QtEEcfuJ-M4CGpIly8qBQwGyZXIV_njxXv0bczScwF6Dn9jzK_MyBeX2CJEwIY9i-hnSH3g5DVEIqhjTRGx75LuyXikneW1FpCuXGvZmAUyqToa3jBFnYWVOZJRtScFKUXpJx7Jw-X8YB-1WzMcrXIpo4ZWMio2sKC9U3v5OfqS1E7xlHZxhN1Z7Ff1zz93Tti7c1E76W7-EDdrtMen580URU6sBLptem_19PIO?authuser=0&fife=s16383
Georgia Harm Reduction Coalition 24 Hour Naloxone Box - Lyla Center,Nasal Naloxone,34.0892592,-84.5277064,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR7BxiAEw3CFrcYK5BKn8S79FGEa5h0oDdfMaUOy7zGXUv_7Rgz7yNuAv_2GCKW-pmXuuRc5BaZdqmPGCJ_VC-3tNDyojCXAsNRn6B588PFAi913ZI1-iBa6ke7I-mwHc8f8cYFd72eUyS6uH_XTd_hSP-uctZGSyHtRrqlEVRsNYfF2dSPJT7AkFY_C7b3Uxaf8g3dLmu7n6nRfL2AWDjL3c_WcgjI99A7YnFWVNc7ADVTZnyd-yGg6Te_jhY4LfES1vfiHFYPA?authuser=0&fife=s16383
Never Alone Clubhouse Porch Naloxone Box,24 hour access Naloxone and Fentanyl Test Strips,33.752186,-84.7385419,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR6kbsMmTIp3qwhjwMBVhj4kSAI3djb8QpECJeVcvERo0vpcrr6ygX1Onn6vXpGuzxde8Bx5-4an_9wJVoJSQjLMMKWnYVSnzQOnnR07eqbQjW_2GXAPPUu78RtXYF8iFDvBUfXw37EEK3S9YhUC05hv5yKBclg42oGkO8UfoCLjFLiPSSrb2iy0iDXfEO3qh7ZCcd5FiC3WEWFXmZvxZ37acv1dpPakM01ICzqKu30OwlDftYaDc33VLU_DmUIWOkjTeVEGlDu2?authuser=0&fife=s16383
Grit and Grace RCO Naloxone Box 1400 Parker Road SE 30094,Naloxone. Details pending,33.6525808,-84.0192209,TRUE,TRUE,FALSE,V,none
East Point Little Library with Naloxone,Books and Nasal Narcan! 24 hour access! Naloxone provided by Georgia Harm Reduction Coalition and Georgia Overdose Prevention.,33.6808949,-84.450963,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR6oaSV6sjegtY9PlVDV1rEw5FDA-wmObnTm0ILDKa4qUtliTMCTAyU7ulrjOOX1rgBA06Ug7b7JA7hjDwg4D0TDOh5SLIi6huz1Ux076olpPadGGBvRcXzfj_bJXZ1ksOYim6mUNGtZAWho9r8KiFOBZCOWZF77xMqsYD1_snkCFmrMX0uAOmywtNacHrvFb-f2eZ3bWfXdOwt8wKCgeAfu43cczW2b_EYon9HTCt8ogbeUWeVxfhZAknoLC0Otry1bU1sXEbRi?authuser=0&fife=s16383
